title,artist,link
Teapot Lid (1924),Emma Gillies,https://collections.ed.ac.uk/art/record/53743?highlight=*:*
Portrait of a Woman (Feb 1952),Martin G C McKeown,https://collections.ed.ac.uk/art/record/21414?highlight=*:*
"Metope 10, south entablature, Parthenon (1837)",NA,https://collections.ed.ac.uk/art/record/20649?highlight=*:*
Unknown (1978),W Rennie,https://collections.ed.ac.uk/art/record/50427?highlight=*:*
Goat,Emma Gillies,https://collections.ed.ac.uk/art/record/53746?highlight=*:*
Portrait of a Woman (1939-1940),James Gordon,https://collections.ed.ac.uk/art/record/21097?highlight=*:*
Damn blast and a side order of damn,Colin Montgomery,https://collections.ed.ac.uk/art/record/22545?highlight=*:*
Unknown,Gordon Anderson,https://collections.ed.ac.uk/art/record/50411?highlight=*:*
Unknown (1947-1948),William D Clyne,https://collections.ed.ac.uk/art/record/50635?highlight=*:*
Portrait of a Man (1983-1988),Renny Tait,https://collections.ed.ac.uk/art/record/21472?highlight=*:*
Inverleith,Janice McNab,https://collections.ed.ac.uk/art/record/22526?highlight=*:*
Banners of the Banned (MAY 2017),Elle McKee,https://collections.ed.ac.uk/art/record/100019?highlight=*:*
Untitled (Unknown),Nicholas File,https://collections.ed.ac.uk/art/record/21781?highlight=*:*
Marshal from the West Frieze of the Parthenon (1836-1837),NA,https://collections.ed.ac.uk/art/record/20689?highlight=*:*
Untitled (1966),Molly Harris,https://collections.ed.ac.uk/art/record/99834?highlight=*:*
Untitled (2002),Gillian Curry,https://collections.ed.ac.uk/art/record/99939?highlight=*:*
Saucer,Emma Gillies,https://collections.ed.ac.uk/art/record/53660?highlight=*:*
Unknown (1950),James T. Ferguson,https://collections.ed.ac.uk/art/record/53497?highlight=*:*
Seated Figure Reading Newspaper,Angus C. A. Hood,https://collections.ed.ac.uk/art/record/22610?highlight=*:*
Espresso Cup,Emma Gillies,https://collections.ed.ac.uk/art/record/53698?highlight=*:*
Unknown,Douglas Baxter,https://collections.ed.ac.uk/art/record/50400?highlight=*:*
Still Life - Tomatoes (1960),Thora Clyne,https://collections.ed.ac.uk/art/record/22719?highlight=*:*
Saucer,Emma Gillies,https://collections.ed.ac.uk/art/record/53622?highlight=*:*
Urban Scene,Paul J Donaldson,https://collections.ed.ac.uk/art/record/21446?highlight=*:*
Man with Woman Smoking (1964),Kirkland Main,https://collections.ed.ac.uk/art/record/22549?highlight=*:*
Unknown (1955),Alejandro B. Brasó,https://collections.ed.ac.uk/art/record/50603?highlight=*:*
Untitled,McArthur,https://collections.ed.ac.uk/art/record/111043?highlight=*:*
Jug (1920s),Emma Gillies,https://collections.ed.ac.uk/art/record/122134?highlight=*:*
Step 3 (2013),Maria Hadam,https://collections.ed.ac.uk/art/record/21308?highlight=*:*
Unknown (1949),Douglas Baxter,https://collections.ed.ac.uk/art/record/50577?highlight=*:*
Placa del Sol (1991),Caroline Conway,https://collections.ed.ac.uk/art/record/21839?highlight=*:*
Portrait of a Woman (1950),Alexander F Mitchell,https://collections.ed.ac.uk/art/record/21055?highlight=*:*
Unknown (1960),Hugh Deans,https://collections.ed.ac.uk/art/record/53577?highlight=*:*
Portrait of a Woman (1948),Thomas Kim Redpath,https://collections.ed.ac.uk/art/record/20800?highlight=*:*
Teacup,Emma Gillies,https://collections.ed.ac.uk/art/record/53644?highlight=*:*
Donkey and Cart in Landscape (Circa 1955),Mollie E N Langlands,https://collections.ed.ac.uk/art/record/21017?highlight=*:*
Untitled (1963),Carol Handyside,https://collections.ed.ac.uk/art/record/99842?highlight=*:*
Anti-Matter (2013),Marissa Stoffer,https://collections.ed.ac.uk/art/record/47441?highlight=*:*
Untitled - 1/2 hr Life Drawing of Man in a Blue Costume (1963),Isobel T Johnstone,https://collections.ed.ac.uk/art/record/99248?highlight=*:*
Untitled - Kings and Queens (1969),Michael T R B Turnbull,https://collections.ed.ac.uk/art/record/99446?highlight=*:*
Teacup,Emma Gillies,https://collections.ed.ac.uk/art/record/53637?highlight=*:*
Mourner No. 54 from the Tomb of John the fearless (Pre 1895),Unknown,https://collections.ed.ac.uk/art/record/20610?highlight=*:*
Portrait of Man in Red Jacket (1968),Michael Docherty,https://collections.ed.ac.uk/art/record/21178?highlight=*:*
Untitled (Unknown),Susie Wilson,https://collections.ed.ac.uk/art/record/21796?highlight=*:*
Untitled (Unknown),Unknown,https://collections.ed.ac.uk/art/record/99922?highlight=*:*
Unknown (1968),Gillian Mather,https://collections.ed.ac.uk/art/record/53589?highlight=*:*
The Jungle (1990),John Brown,https://collections.ed.ac.uk/art/record/99469?highlight=*:*
"Circo Togni, Ravenna (1957)",Peter McGinn,https://collections.ed.ac.uk/art/record/21115?highlight=*:*
Untitled - Abstract Blue and Green Squares (1994),Roger Elliot,https://collections.ed.ac.uk/art/record/99461?highlight=*:*
Reclining Male Nude (1959),Jean I. Beattie,https://collections.ed.ac.uk/art/record/20923?highlight=*:*
Untitled (1969),Richard Easson,https://collections.ed.ac.uk/art/record/22493?highlight=*:*
Woven fragments (waistcoat),Unknown,https://collections.ed.ac.uk/art/record/102702?highlight=*:*
Untitled (1965),Laura McPherson,https://collections.ed.ac.uk/art/record/22482?highlight=*:*
Man in Blue Waistcoat,Henry Rodgers,https://collections.ed.ac.uk/art/record/21461?highlight=*:*
Untitled (1962),Underwood,https://collections.ed.ac.uk/art/record/22502?highlight=*:*
The Judgement of Paris (1959),Kenneth Dingwall,https://collections.ed.ac.uk/art/record/22713?highlight=*:*
Suit of Armour (Circa 1964),Kirkland Main,https://collections.ed.ac.uk/art/record/21170?highlight=*:*
Portrait of a Woman (1950),Zygmunt Bukowski,https://collections.ed.ac.uk/art/record/21368?highlight=*:*
Untitled (1997),Sena K.,https://collections.ed.ac.uk/art/record/21923?highlight=*:*
Unknown (1960),Dorothea Brown,https://collections.ed.ac.uk/art/record/50601?highlight=*:*
Abstract Composition in Grey with Circle (1989),Linda A. Henniker,https://collections.ed.ac.uk/art/record/22709?highlight=*:*
Unknown (1946),Alan Lefley,https://collections.ed.ac.uk/art/record/50487?highlight=*:*
Food Print (2006),Tomoko Kawanaka,https://collections.ed.ac.uk/art/record/99862?highlight=*:*
Queen Anne chair cover (1700-1750),Unknown,https://collections.ed.ac.uk/art/record/102711?highlight=*:*
Riders from South Frieze of the Parthenon (1836-1837),NA,https://collections.ed.ac.uk/art/record/20718?highlight=*:*
Untitled (1967),Rosemary Seaton,https://collections.ed.ac.uk/art/record/22475?highlight=*:*
Unknown (1960),Hugh Deans,https://collections.ed.ac.uk/art/record/53573?highlight=*:*
Unknown (1950),Valerie A. Cockburn (Gage),https://collections.ed.ac.uk/art/record/50552?highlight=*:*
Lit Doorway,C. K.?,https://collections.ed.ac.uk/art/record/22541?highlight=*:*
Unknown,J Hamilton Glass,https://collections.ed.ac.uk/art/record/50459?highlight=*:*
Train Station Interior,Eric Urquhart,https://collections.ed.ac.uk/art/record/21507?highlight=*:*
Sampler on course slub material,Unknown,https://collections.ed.ac.uk/art/record/102665?highlight=*:*
Riders: Parthenon Frieze (1836-1837),NA,https://collections.ed.ac.uk/art/record/20706?highlight=*:*
Unknown,Unknown,https://collections.ed.ac.uk/art/record/53512?highlight=*:*
Seated Female Nude (1966-1967),George Donald,https://collections.ed.ac.uk/art/record/21094?highlight=*:*
Standing Male Nude (Circa 1938),M E James,https://collections.ed.ac.uk/art/record/21028?highlight=*:*
Agricultural Tools,Alexander Curtis,https://collections.ed.ac.uk/art/record/21505?highlight=*:*
Winged Victory of Samothrace (Post 1879),Musée Royal du Louvre,https://collections.ed.ac.uk/art/record/20585?highlight=*:*
Cotton Wool Brain (2019),Zuzana Ullmannová,https://collections.ed.ac.uk/art/record/113744?highlight=*:*
Untitled,NA,https://collections.ed.ac.uk/art/record/111044?highlight=*:*
Untitled - Horses and Riders (1963),Jean M. Marshall,https://collections.ed.ac.uk/art/record/99363?highlight=*:*
Men Bathing (1953-1954),Trevor Stubley,https://collections.ed.ac.uk/art/record/20796?highlight=*:*
For Mayte Carrasco (Unknown),Elspeth Lamb,https://collections.ed.ac.uk/art/record/21887?highlight=*:*
Portrait of Seated Woman (25 Jan 1966),George Donald,https://collections.ed.ac.uk/art/record/21175?highlight=*:*
Untitled - Portrait of a Nude Female (1972),Lindsay R S Gordon,https://collections.ed.ac.uk/art/record/99421?highlight=*:*
Bridge at Night,H. Livingstone,https://collections.ed.ac.uk/art/record/22535?highlight=*:*
Performing Labour in an Industrial Setting II (2020),Aisling Ward,https://collections.ed.ac.uk/art/record/113776?highlight=*:*
Unknown,Ruari MacLeod,https://collections.ed.ac.uk/art/record/50437?highlight=*:*
Drawing of a Seated Woman (1956-1959),Jacqueline A N Stieger,https://collections.ed.ac.uk/art/record/20819?highlight=*:*
Saucer,Emma Gillies,https://collections.ed.ac.uk/art/record/53659?highlight=*:*
Isabella of Aragon (broken) (Post 1912),Unknown,https://collections.ed.ac.uk/art/record/20532?highlight=*:*
Unknown,Stuart T. MacKenzie,https://collections.ed.ac.uk/art/record/53561?highlight=*:*
Pyreneen Vogel (2002),Frances Ryan,https://collections.ed.ac.uk/art/record/21806?highlight=*:*
The Thinker (1969),Marko Krsmanovic,https://collections.ed.ac.uk/art/record/21647?highlight=*:*
November III (St Andrews) (1991),Wilhelmina Barns-Graham CBE HRSA HRSW,https://collections.ed.ac.uk/art/record/54749?highlight=*:*
Winter Fence (1977),Alfons Bytautas,https://collections.ed.ac.uk/art/record/21549?highlight=*:*
untitled (1984),David Hosie,https://collections.ed.ac.uk/art/record/112340?highlight=*:*
Whitework baby's bonnet,Unknown,https://collections.ed.ac.uk/art/record/102708?highlight=*:*
Four Abstract Panels,L Henniker,https://collections.ed.ac.uk/art/record/21460?highlight=*:*
Sleeping Female Nude (1950),Alexander F Mitchell,https://collections.ed.ac.uk/art/record/21057?highlight=*:*
Abstract Female Nude (1965),William Gillon,https://collections.ed.ac.uk/art/record/21312?highlight=*:*
"The Beach, Summer Composition (1958)",Robert M E Callender,https://collections.ed.ac.uk/art/record/22590?highlight=*:*
Portrait of a Young Man (Circa 1950),John D Cowan,https://collections.ed.ac.uk/art/record/21336?highlight=*:*
Abstract with Blue Stripes (quadriptych) (1969),Ian G. Robertson,https://collections.ed.ac.uk/art/record/22570?highlight=*:*
Unknown (1960),Jean I. Beattie,https://collections.ed.ac.uk/art/record/50615?highlight=*:*
Untitled (2003),Sarah Jamieson,https://collections.ed.ac.uk/art/record/99925?highlight=*:*
Standing Female Nude,Unknown,https://collections.ed.ac.uk/art/record/22730?highlight=*:*
Standing Male Nude (1952),David Michie,https://collections.ed.ac.uk/art/record/21387?highlight=*:*
Head of Lorenzo de' Medici (Circa 1836),Aristodemo Costoli,https://collections.ed.ac.uk/art/record/20541?highlight=*:*
Curtain (1961),Unknown,https://collections.ed.ac.uk/art/record/100008?highlight=*:*
Flowers Behind the Door (1953),Bernard Reder,https://collections.ed.ac.uk/art/record/21658?highlight=*:*
The Ideal (1991),Karen Guthrie,https://collections.ed.ac.uk/art/record/21907?highlight=*:*
Unknown (20 Feb 1956),James C. Y. Gavin,https://collections.ed.ac.uk/art/record/53494?highlight=*:*
Seated Female Nude (1957),Hillary Lewis,https://collections.ed.ac.uk/art/record/21160?highlight=*:*
Singer (Jan 1987),Paul Rooney,https://collections.ed.ac.uk/art/record/21841?highlight=*:*
In the Kitchen (1989),Robert Bushe,https://collections.ed.ac.uk/art/record/22608?highlight=*:*
Untitled (1962),Ethel V Hope,https://collections.ed.ac.uk/art/record/99836?highlight=*:*
Untitled (1967),Ian Roy,https://collections.ed.ac.uk/art/record/21757?highlight=*:*
Unknown (Unknown),Unknown,https://collections.ed.ac.uk/art/record/21866?highlight=*:*
Four Portraits of a Bearded Man (1955),Peter McGinn,https://collections.ed.ac.uk/art/record/21088?highlight=*:*
Portrait of a Young Man (1951),James P W Syme,https://collections.ed.ac.uk/art/record/21240?highlight=*:*
Dorothy Allsop sampler (1936),Unknown,https://collections.ed.ac.uk/art/record/102697?highlight=*:*
Untitled (13 Dec 2013),Joanne Leonie Milne,https://collections.ed.ac.uk/art/record/21888?highlight=*:*
Standing Male Nude with Staff (1960),Derek Shiel,https://collections.ed.ac.uk/art/record/20815?highlight=*:*
Untitled - Abstract Bridge and Ballons (1968),Alastair Burns,https://collections.ed.ac.uk/art/record/99474?highlight=*:*
Untitled (Unknown),David Douglas,https://collections.ed.ac.uk/art/record/21641?highlight=*:*
Untitled (Unknown),Unknown,https://collections.ed.ac.uk/art/record/21991?highlight=*:*
Untitled (1955),Alan Bartram,https://collections.ed.ac.uk/art/record/99827?highlight=*:*
Pattern darned sample,Unknown,https://collections.ed.ac.uk/art/record/102690?highlight=*:*
Gates of Paradise (1835),Clement Pappi,https://collections.ed.ac.uk/art/record/20577?highlight=*:*
Plate,Emma Gillies,https://collections.ed.ac.uk/art/record/53717?highlight=*:*
Untitled (Unknown),David C Duke,https://collections.ed.ac.uk/art/record/21987?highlight=*:*
Untitled (1969),Richard Easson,https://collections.ed.ac.uk/art/record/99829?highlight=*:*
Nude Male and Horse (Circa 1963),Leon Francesco Morrocco,https://collections.ed.ac.uk/art/record/21399?highlight=*:*
Standing Female Nude (1954),Nita Newman,https://collections.ed.ac.uk/art/record/21254?highlight=*:*
