title,artist,link
Life Painting (1918),Anne Redpath,https://collections.ed.ac.uk/art/record/20735?highlight=*:*
Prendre la clef des Chaps (1963),Ann F Ward,https://collections.ed.ac.uk/art/record/99346?highlight=*:*
Lid,Emma Gillies,https://collections.ed.ac.uk/art/record/122079?highlight=*:*
Untitled (1969),John Stewart,https://collections.ed.ac.uk/art/record/99528?highlight=*:*
Unknown (1958),Katherine Cowan,https://collections.ed.ac.uk/art/record/50514?highlight=*:*
Studio Corner (2003),Peter Scott,https://collections.ed.ac.uk/art/record/99937?highlight=*:*
Untitled (Unknown),Unknown,https://collections.ed.ac.uk/art/record/21627?highlight=*:*
Big Top (Circa 1968),Gillian Mather,https://collections.ed.ac.uk/art/record/21485?highlight=*:*
Plate,Emma Gillies,https://collections.ed.ac.uk/art/record/53671?highlight=*:*
Drawing of a Seated Man (1955-1956),Eric Ritchie,https://collections.ed.ac.uk/art/record/20801?highlight=*:*
Still Life with Teapot,Bull,https://collections.ed.ac.uk/art/record/20757?highlight=*:*
Unknown (1947),Sheila Turnbull,https://collections.ed.ac.uk/art/record/50455?highlight=*:*
Life Painting (Circa 1952),David Michie,https://collections.ed.ac.uk/art/record/20737?highlight=*:*
Standing Nude (1960),John Johnstone,https://collections.ed.ac.uk/art/record/21358?highlight=*:*
Unknown (1985),Donald Provan,https://collections.ed.ac.uk/art/record/50418?highlight=*:*
Drawing of Reclining Nude Sculpture (15 May 1950),David Michie,https://collections.ed.ac.uk/art/record/21036?highlight=*:*
Portrait of a Seated Woman,Barbara Mackie,https://collections.ed.ac.uk/art/record/20999?highlight=*:*
Untitled (2004),Shona Van Dam,https://collections.ed.ac.uk/art/record/21791?highlight=*:*
Ashes and Diamonds (Unknown),David Freed,https://collections.ed.ac.uk/art/record/21654?highlight=*:*
Portrait of a Man (1954),Elizabeth Blackadder,https://collections.ed.ac.uk/art/record/21408?highlight=*:*
Untitled (2006),Amelia Smith,https://collections.ed.ac.uk/art/record/99863?highlight=*:*
Portrait of a Woman (1951),Andrew Kidd,https://collections.ed.ac.uk/art/record/21235?highlight=*:*
Boats and Collies (1929),Ernest S. Lumsden,https://collections.ed.ac.uk/art/record/21751?highlight=*:*
Unknown (1962),Kathleen Russell,https://collections.ed.ac.uk/art/record/50503?highlight=*:*
Portrait of Seated Woman (1952),Nicholas Patrick Reyntiens,https://collections.ed.ac.uk/art/record/21371?highlight=*:*
View of a Street (1980),Calum Wilson,https://collections.ed.ac.uk/art/record/21454?highlight=*:*
Child's collar. Chinese,Unknown,https://collections.ed.ac.uk/art/record/102674?highlight=*:*
Groom and horses from North Frieze of the Parthenon (1836-1837),NA,https://collections.ed.ac.uk/art/record/20713?highlight=*:*
Three studies on a pink ground (girl with clasped hands) (1949),Barbara Hepworth,https://collections.ed.ac.uk/art/record/20769?highlight=*:*
Fragment of ornament (arch springing),Unknown,https://collections.ed.ac.uk/art/record/20566?highlight=*:*
Abstract Landscape (1990),Robert Euman,https://collections.ed.ac.uk/art/record/22639?highlight=*:*
Untitled (1990-1991),Anne Weddell,https://collections.ed.ac.uk/art/record/21977?highlight=*:*
Opuntia Basilaris Engelmann and Bigelow 1856 (1993-1994),Jane Watt,https://collections.ed.ac.uk/art/record/99458?highlight=*:*
Standing Male Nude (1960),Thomas T Robertson,https://collections.ed.ac.uk/art/record/20806?highlight=*:*
Untitled - City Highrise (Feb 1962),William Gillon,https://collections.ed.ac.uk/art/record/99482?highlight=*:*
Portrait of a Man Seated (1959),C Byron,https://collections.ed.ac.uk/art/record/20914?highlight=*:*
Abstract Composition (1962),James T Carlyle,https://collections.ed.ac.uk/art/record/21280?highlight=*:*
Portrait of a Man (1961),James Fairgrieve,https://collections.ed.ac.uk/art/record/21396?highlight=*:*
Unknown (1948),John W. Corner,https://collections.ed.ac.uk/art/record/50516?highlight=*:*
Untitled (Unknown),Joanne Leonie Milne,https://collections.ed.ac.uk/art/record/21931?highlight=*:*
Unknown (1956),Alan M. Alexander,https://collections.ed.ac.uk/art/record/50597?highlight=*:*
Riders from West Frieze of the Parthenon (1836-1837),NA,https://collections.ed.ac.uk/art/record/20663?highlight=*:*
Back of Bennachie,Hazel Holmes,https://collections.ed.ac.uk/art/record/21623?highlight=*:*
Seated Male Nude (1955),Rosemary Gray,https://collections.ed.ac.uk/art/record/21188?highlight=*:*
Still Life with Garden Fork (1964),Alexander Moffat,https://collections.ed.ac.uk/art/record/93355?highlight=*:*
Untitled - Nude Female Lying On a Patterned Bed (1967),Kevin Maguire,https://collections.ed.ac.uk/art/record/99358?highlight=*:*
On Italian Balcony,Muriel Davidson,https://collections.ed.ac.uk/art/record/53477?highlight=*:*
Unknown (1989),Heather Macdonald,https://collections.ed.ac.uk/art/record/50428?highlight=*:*
Untitled - Portrait of A Woman (1982),Tina-Marja Leppanen-Ritchie,https://collections.ed.ac.uk/art/record/99434?highlight=*:*
Reclining Male Nude (1956),Ballantyne,https://collections.ed.ac.uk/art/record/21244?highlight=*:*
Unknown (1950),Alexander Cree,https://collections.ed.ac.uk/art/record/50544?highlight=*:*
Seated Female Nude (1959),W Bryden,https://collections.ed.ac.uk/art/record/21107?highlight=*:*
Saucer,Emma Gillies,https://collections.ed.ac.uk/art/record/53626?highlight=*:*
Hibernation (1987),Alastair Mack,https://collections.ed.ac.uk/art/record/21842?highlight=*:*
Untitled (Unknown),Victoria C F Bernie,https://collections.ed.ac.uk/art/record/21784?highlight=*:*
Espresso Cup,Emma Gillies,https://collections.ed.ac.uk/art/record/53695?highlight=*:*
Untitled - Portrait of a Reading Woman (Apr 1963),William Gillon,https://collections.ed.ac.uk/art/record/99478?highlight=*:*
Portrait of a Woman (1947),James Cumming,https://collections.ed.ac.uk/art/record/21363?highlight=*:*
Untitled (1967),Christine Watson,https://collections.ed.ac.uk/art/record/21772?highlight=*:*
Riders from the North Frieze of the Parthenon (1836-1837),NA,https://collections.ed.ac.uk/art/record/20699?highlight=*:*
From the Viking Age (1897),Pavlov Chailly,https://collections.ed.ac.uk/art/record/50469?highlight=*:*
Farm Building (01 May 1985),Allison E Sharpe,https://collections.ed.ac.uk/art/record/21467?highlight=*:*
Unknown (1952),Alistair Fairweather,https://collections.ed.ac.uk/art/record/50422?highlight=*:*
Espresso Saucer,Emma Gillies,https://collections.ed.ac.uk/art/record/53680?highlight=*:*
Stretching Male Nude (Circa 1953),Valerie Donaldson,https://collections.ed.ac.uk/art/record/20949?highlight=*:*
